work_year,experience_level,employment_type,job_title, salary_in_usd ,employee_residence,remote_ratio,company_location,company_size
2023,Senior-level,Full-Time,Machine Learning Engineer,"$150,000 ",Portugal,Remote,United States,Medium
2023,Mid-level,Full-Time,Applied Machine Learning Engineer,"$69,751 ",India,Remote,Germany,Small
2022,Entry-level,Full-Time,AI Developer,"$300,000 ",India,Partially Remote,India,Large
2023,Mid-level,Full-Time,Machine Learning Engineer,"$96,578 ",Netherlands,Remote,Netherlands,Large
2023,Senior-level,Full-Time,Business Intelligence Engineer,"$185,900 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Business Intelligence Engineer,"$129,300 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$225,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$175,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$185,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$140,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$48,289 ",Spain,On-site,Spain,Medium
2023,Senior-level,Full-Time,Data Scientist,"$38,631 ",Spain,On-site,Spain,Medium
2023,Senior-level,Full-Time,Data Scientist,"$105,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$70,000 ",United States,On-site,United States,Medium
2023,Entry-level,Full-Time,Machine Learning Engineer,"$163,196 ",United States,On-site,United States,Medium
2023,Entry-level,Full-Time,Machine Learning Engineer,"$145,885 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$217,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$185,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Analyst,"$202,800 ",United States,On-site,United States,Large
2023,Senior-level,Full-Time,Data Analyst,"$104,300 ",United States,On-site,United States,Large
2023,Senior-level,Full-Time,Data Analyst,"$145,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Analyst,"$65,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$165,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$132,300 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$179,170 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$94,300 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Analytics Engineer,"$152,500 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Analytics Engineer,"$116,450 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$247,300 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$133,800 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Research Engineer,"$203,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Research Engineer,"$133,000 ",United States,On-site,United States,Medium
2023,Entry-level,Full-Time,Research Scientist,"$220,000 ",United States,Partially Remote,United States,Large
2022,Entry-level,Full-Time,Machine Learning Engineer,"$56,536 ",Switzerland,Remote,Switzerland,Small
2023,Senior-level,Full-Time,Data Scientist,"$150,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$120,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Analytics Engineer,"$289,800 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Analytics Engineer,"$214,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Analytics Engineer,"$179,820 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Analytics Engineer,"$143,860 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Machine Learning Engineer,"$283,200 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Machine Learning Engineer,"$188,800 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Analytics Engineer,"$289,800 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Analytics Engineer,"$214,200 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$185,900 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$129,300 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$252,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$129,000 ",United States,On-site,United States,Medium
2023,Mid-level,Full-Time,Data Analytics Manager,"$155,000 ",United States,On-site,United States,Medium
2023,Mid-level,Full-Time,Data Analytics Manager,"$140,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$161,800 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$141,600 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Machine Learning Engineer,"$342,300 ",United States,On-site,United States,Large
2023,Senior-level,Full-Time,Machine Learning Engineer,"$176,100 ",United States,On-site,United States,Large
2023,Mid-level,Full-Time,Data Engineer,"$100,000 ",United States,Remote,United States,Medium
2023,Mid-level,Full-Time,Data Engineer,"$70,000 ",United States,Remote,United States,Medium
2023,Entry-level,Full-Time,Data Engineer,"$85,000 ",United States,On-site,United States,Medium
2023,Entry-level,Full-Time,Data Engineer,"$65,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$138,784 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$83,270 ",United States,Remote,United States,Medium
2023,Entry-level,Full-Time,Data Analyst,"$75,000 ",United States,On-site,United States,Medium
2023,Entry-level,Full-Time,Data Analyst,"$70,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Analyst,"$204,500 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Analyst,"$138,900 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Machine Learning Engineer,"$318,300 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Machine Learning Engineer,"$212,200 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$95,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$75,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$195,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$160,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Analytics Engineer,"$230,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Analytics Engineer,"$143,200 ",United States,On-site,United States,Medium
2023,Mid-level,Full-Time,Data Engineer,"$100,000 ",United States,Remote,United States,Medium
2023,Mid-level,Full-Time,Data Engineer,"$70,000 ",United States,Remote,United States,Medium
2023,Mid-level,Full-Time,Business Data Analyst,"$105,000 ",United States,Partially Remote,United States,Large
2023,Mid-level,Full-Time,Applied Data Scientist,"$20,670 ",India,Remote,India,Large
2023,Mid-level,Full-Time,Data Analyst,"$46,178 ",United Kingdom,On-site,United Kingdom,Medium
2023,Mid-level,Full-Time,Data Analyst,"$42,533 ",United Kingdom,On-site,United Kingdom,Medium
2023,Senior-level,Full-Time,Data Engineer,"$145,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$115,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Analyst,"$168,400 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Analyst,"$105,200 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Applied Scientist,"$309,400 ",United States,On-site,United States,Large
2023,Senior-level,Full-Time,Applied Scientist,"$159,100 ",United States,On-site,United States,Large
2023,Senior-level,Full-Time,Machine Learning Engineer,"$190,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Machine Learning Engineer,"$150,000 ",United States,On-site,United States,Medium
2023,Mid-level,Full-Time,Data Engineer,"$162,500 ",United States,On-site,United States,Medium
2023,Mid-level,Full-Time,Data Engineer,"$130,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Analytics Engineer,"$150,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Analytics Engineer,"$120,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$145,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$120,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Applied Scientist,"$222,200 ",United States,On-site,United States,Large
2023,Senior-level,Full-Time,Applied Scientist,"$136,000 ",United States,On-site,United States,Large
2023,Senior-level,Full-Time,Data Analyst,"$54,685 ",Central African Republic,Remote,Central African Republic,Medium
2023,Senior-level,Full-Time,Data Analyst,"$42,533 ",Central African Republic,Remote,Central African Republic,Medium
2023,Senior-level,Full-Time,Data Engineer,"$241,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$155,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$220,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$190,000 ",United States,Remote,United States,Medium
2023,Mid-level,Full-Time,Data Scientist,"$66,837 ",United Kingdom,On-site,United Kingdom,Medium
2023,Mid-level,Full-Time,Data Scientist,"$54,685 ",United Kingdom,On-site,United Kingdom,Medium
2020,Expert,Full-Time,Staff Data Analyst,"$15,000 ",Nigeria,On-site,Canada,Medium
2023,Mid-level,Full-Time,ETL Engineer,"$85,066 ",United Kingdom,Remote,United Kingdom,Medium
2023,Mid-level,Full-Time,ETL Engineer,"$57,723 ",United Kingdom,Remote,United Kingdom,Medium
2023,Entry-level,Full-Time,Data Analyst,"$85,000 ",United States,Remote,United States,Medium
2023,Entry-level,Full-Time,Data Analyst,"$75,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$160,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$140,000 ",United States,On-site,United States,Medium
2023,Mid-level,Full-Time,Machine Learning Engineer,"$300,000 ",United States,On-site,United States,Medium
2023,Mid-level,Full-Time,Machine Learning Engineer,"$250,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$228,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$186,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$190,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$170,000 ",United States,On-site,United States,Medium
2023,Mid-level,Full-Time,Research Engineer,"$230,000 ",United States,On-site,United States,Medium
2023,Mid-level,Full-Time,Research Engineer,"$200,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Architect,"$180,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Architect,"$115,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Architect,"$200,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Architect,"$115,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data DevOps Engineer,"$53,654 ",France,Partially Remote,France,Small
2023,Expert,Full-Time,Data Engineer,"$220,000 ",United States,On-site,United States,Medium
2023,Expert,Full-Time,Data Engineer,"$205,000 ",United States,On-site,United States,Medium
2023,Mid-level,Full-Time,Data Engineer,"$180,000 ",United States,On-site,United States,Medium
2023,Mid-level,Full-Time,Data Engineer,"$130,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$200,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$150,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Computer Vision Engineer,"$215,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Computer Vision Engineer,"$170,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Machine Learning Engineer,"$247,500 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Machine Learning Engineer,"$172,200 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$224,000 ",Canada,On-site,Canada,Medium
2023,Senior-level,Full-Time,Data Scientist,"$176,000 ",Canada,On-site,Canada,Medium
2023,Senior-level,Full-Time,Data Analyst,"$120,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Analyst,"$75,000 ",United States,Remote,United States,Medium
2023,Entry-level,Full-Time,Data Engineer,"$17,022 ",India,Remote,India,Large
2023,Senior-level,Full-Time,Applied Data Scientist,"$68,318 ",Australia,Remote,Finland,Medium
2023,Mid-level,Full-Time,AI Developer,"$75,020 ",Finland,On-site,Finland,Medium
2023,Senior-level,Full-Time,Data Analyst,"$140,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Analyst,"$120,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$128,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$81,500 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$145,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$115,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$185,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$140,000 ",United States,On-site,United States,Medium
2023,Expert,Full-Time,Head of Data,"$329,500 ",United States,On-site,United States,Medium
2023,Expert,Full-Time,Head of Data,"$269,600 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Quality Analyst,"$100,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Quality Analyst,"$80,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$250,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$162,500 ",United States,On-site,United States,Medium
2023,Mid-level,Full-Time,AI Developer,"$200,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$145,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$100,000 ",United States,On-site,United States,Medium
2023,Expert,Full-Time,Data Engineer,"$145,000 ",United States,On-site,United States,Medium
2023,Expert,Full-Time,Data Engineer,"$115,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$203,500 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$152,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$239,000 ",United States,On-site,United States,Large
2023,Senior-level,Full-Time,Data Scientist,"$122,900 ",United States,On-site,United States,Large
2023,Senior-level,Full-Time,Data Scientist,"$237,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$145,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Science Manager,"$191,765 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Science Manager,"$134,236 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Analytics Engineer,"$190,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Analytics Engineer,"$112,000 ",United States,Remote,United States,Medium
2022,Senior-level,Full-Time,Data Scientist,"$88,256 ",Spain,Remote,United Kingdom,Large
2023,Entry-level,Full-Time,Data Engineer,"$85,000 ",United States,On-site,United States,Medium
2023,Entry-level,Full-Time,Data Engineer,"$65,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Analyst,"$135,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Analyst,"$105,500 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Research Engineer,"$293,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Research Engineer,"$185,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Analyst,"$80,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Analyst,"$70,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$220,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$160,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$175,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$145,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Analyst,"$200,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Analyst,"$148,500 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$48,289 ",Spain,On-site,Spain,Medium
2023,Senior-level,Full-Time,Data Scientist,"$38,631 ",Spain,On-site,Spain,Medium
2023,Senior-level,Full-Time,Data Engineer,"$240,500 ",United States,On-site,United States,Large
2023,Senior-level,Full-Time,Data Engineer,"$123,700 ",United States,On-site,United States,Large
2023,Senior-level,Full-Time,Analytics Engineer,"$152,900 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Analytics Engineer,"$117,100 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Analytics Engineer,"$173,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Analytics Engineer,"$113,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Applied Scientist,"$260,000 ",United States,On-site,United States,Large
2023,Senior-level,Full-Time,Applied Scientist,"$136,000 ",United States,On-site,United States,Large
2023,Expert,Full-Time,Data Engineer,"$175,000 ",United States,On-site,United States,Medium
2023,Expert,Full-Time,Data Engineer,"$110,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Applied Scientist,"$260,000 ",United States,On-site,United States,Large
2023,Senior-level,Full-Time,Applied Scientist,"$136,000 ",United States,On-site,United States,Large
2023,Senior-level,Full-Time,Research Scientist,"$130,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Research Scientist,"$110,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Applied Scientist,"$205,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Applied Scientist,"$184,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Analyst,"$149,500 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Analyst,"$127,075 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$195,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$160,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$219,535 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$146,115 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$170,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$135,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$175,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$145,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$199,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$162,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Applied Scientist,"$222,200 ",United States,On-site,United States,Large
2023,Senior-level,Full-Time,Applied Scientist,"$136,000 ",United States,On-site,United States,Large
2023,Expert,Full-Time,Analytics Engineer,"$221,000 ",United States,Remote,United States,Medium
2023,Expert,Full-Time,Analytics Engineer,"$153,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Analyst,"$187,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Analyst,"$128,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Research Scientist,"$210,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Research Scientist,"$136,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$175,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$100,000 ",United States,Remote,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$179,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Engineer,"$109,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$245,000 ",United States,On-site,United States,Medium
2023,Senior-level,Full-Time,Data Scientist,"$180,000 ",United States,On-site,United States,Medium
